RID	Token	Offset	RVA	ImplFlags	Flags	Name	Signature	ParamList	Info
1	0x06000001	0x0001C09C	0x2194	0	0x96	1	0xA	1	flared_00
2	0x06000002	0x0001C0AA	0x229C	0	0x96	0x1B1	0xA	2	flare_01
3	0x06000003	0x0001C0B8	0x22E0	0	0x96	0x1A7	0x10	3	flared_01
4	0x06000004	0x0001C0C6	0x2324	0	0x96	0x314	0x10	4	flare_02
5	0x06000005	0x0001C0D4	0x205C	0	0x1886	0x19DA	0x15	5	.ctor
6	0x06000006	0x0001C0E2	0x236C	0	0x96	0x30A	0x19	5	flared_02
7	0x06000007	0x0001C0F0	0x2398	0	0x96	0x440	0x19	6	flare_03
8	0x06000008	0x0001C0FE	0x23DC	0	0x96	0x436	0x19	7	flared_03
9	0x06000009	0x0001C10C	0x2400	0	0x96	0x4EF	0x19	8	flare_04
10	0x0600000A	0x0001C11A	0x2444	0	0x96	0x4E5	0x1E	9	flared_04
11	0x0600000B	0x0001C128	0x24B8	0	0x96	0x5DA	0x1E	0xB	flare_05
12	0x0600000C	0x0001C136	0x2500	0	0x96	0x5D0	0x19	0xD	flared_05
13	0x0600000D	0x0001C144	0x2678	0	0x96	0x66F	0x19	0xE	flare_06
14	0x0600000E	0x0001C152	0x205C	0	0x1886	0x19DA	0x15	0xF	.ctor
15	0x0600000F	0x0001C160	0x2065	0	0x1891	0x19E0	0x30	0xF	.cctor
16	0x06000010	0x0001C16E	0x205C	0	0x1886	0x19DA	0x15	0xF	.ctor
17	0x06000011	0x0001C17C	0x2071	0	0x83	0x116	0x34	0xF	<_ShrinkCmdResult>b__6_0
18	0x06000012	0x0001C18A	0x26D0	0	0x96	0x665	0x30	0x10	flared_06
19	0x06000013	0x0001C198	0x270C	0	0x96	0x70F	0x30	0x10	flare_07
20	0x06000014	0x0001C1A6	0x2089	0	0x96	0x705	0x4A	0x10	flared_07
21	0x06000015	0x0001C1B4	0x2744	0	0x96	0x79C	0x4A	0x11	flare_08
22	0x06000016	0x0001C1C2	0x2788	0	0x96	0x792	0x30	0x12	flared_08
23	0x06000017	0x0001C1D0	0x27C4	0	0x96	0x83B	0x30	0x12	flare_09
24	0x06000018	0x0001C1DE	0x27FC	0	0x96	0x831	0x4F	0x12	flared_09
25	0x06000019	0x0001C1EC	0x2814	0	0x96	0x1D	0x4F	0x12	flare_10
26	0x0600001A	0x0001C1FA	0x2850	0	0x96	0x13	0x53	0x12	flared_10
27	0x0600001B	0x0001C208	0x2868	0	0x96	0x1CC	0x53	0x12	flare_11
28	0x0600001C	0x0001C216	0x28A4	0	0x96	0x1C2	0x5B	0x12	flared_11
29	0x0600001D	0x0001C224	0x2918	0	0x96	0x32F	0x5B	0x12	flare_12
30	0x0600001E	0x0001C232	0x2964	0	0x96	0x325	0x5B	0x12	flared_12
31	0x0600001F	0x0001C240	0x29DC	0	0x96	0x45B	0x5B	0x12	flare_13
32	0x06000020	0x0001C24E	0x2A28	0	0x96	0x451	0x5F	0x12	flared_13
33	0x06000021	0x0001C25C	0x2A54	0	0x96	0x50A	0x5F	0x12	flare_14
34	0x06000022	0x0001C26A	0x2A90	0	0x96	0x500	0x5F	0x12	flared_14
35	0x06000023	0x0001C278	0x2B10	0	0x96	0x5F5	0x5F	0x12	flare_15
36	0x06000024	0x0001C286	0x2B4C	0	0x96	0x5EB	0x19	0x12	flared_15
37	0x06000025	0x0001C294	0x2B94	0	0x96	0x68A	0x19	0x13	flare_16
38	0x06000026	0x0001C2A2	0x2BD8	0	0x96	0x680	0x5F	0x14	flared_16
39	0x06000027	0x0001C2B0	0x2C94	0	0x96	0x722	0x5F	0x14	flare_17
40	0x06000028	0x0001C2BE	0x205C	0	0x1886	0x19DA	0x15	0x14	.ctor
41	0x06000029	0x0001C2CC	0x2CD0	0	0x1891	0x19E0	0x30	0x14	.cctor
42	0x0600002A	0x0001C2DA	0x2D84	0	0x96	0x718	0x63	0x14	flared_17
43	0x0600002B	0x0001C2E8	0x2E3C	0	0x96	0x7AF	0x63	0x15	flare_18
44	0x0600002C	0x0001C2F6	0x2E80	0	0x96	0x7A5	0x63	0x16	flared_18
45	0x0600002D	0x0001C304	0x2F5C	0	0x96	0x84E	0x63	0x17	flare_19
46	0x0600002E	0x0001C312	0x205C	0	0x1886	0x19DA	0x15	0x18	.ctor
47	0x0600002F	0x0001C320	0x2FA0	0	0x96	0x844	0x6E	0x18	flared_19
48	0x06000030	0x0001C32E	0x3000	0	0x96	0x84E	0x6E	0x18	flare_19
49	0x06000031	0x0001C33C	0x303C	0	0x96	0x26	0x6E	0x18	flared_20
50	0x06000032	0x0001C34A	0x30A4	0	0x96	0x30	0x6E	0x18	flare_20
51	0x06000033	0x0001C358	0x30E0	0	0x96	0x1D5	0x6E	0x18	flared_21
52	0x06000034	0x0001C366	0x3154	0	0x96	0x1DF	0x6E	0x18	flare_21
53	0x06000035	0x0001C374	0x3190	0	0x96	0x338	0x6E	0x18	flared_22
54	0x06000036	0x0001C382	0x3204	0	0x96	0x342	0x6E	0x18	flare_22
55	0x06000037	0x0001C390	0x3240	0	0x96	0x464	0x73	0x18	flared_23
56	0x06000038	0x0001C39E	0x3298	0	0x96	0x46E	0x73	0x19	flare_23
57	0x06000039	0x0001C3AC	0x32F4	0	0x96	0x513	0x73	0x1A	flared_24
58	0x0600003A	0x0001C3BA	0x3428	0	0x96	0x51D	0x73	0x1B	flare_24
59	0x0600003B	0x0001C3C8	0x3484	0	0x96	0x5FE	0x73	0x1C	flared_25
60	0x0600003C	0x0001C3D6	0x355C	0	0x96	0x608	0x73	0x1D	flare_25
61	0x0600003D	0x0001C3E4	0x35B8	0	0x96	0x693	0x73	0x1E	flared_26
62	0x0600003E	0x0001C3F2	0x35F8	0	0x96	0x69D	0x73	0x1F	flare_26
63	0x0600003F	0x0001C400	0x3654	0	0x96	0x72B	0x5B	0x20	flared_27
64	0x06000040	0x0001C40E	0x368C	0	0x96	0x735	0x5B	0x20	flare_27
65	0x06000041	0x0001C41C	0x209D	0	0x96	0x7B8	0x7A	0x20	flared_28
66	0x06000042	0x0001C42A	0x36C8	0	0x96	0x7C2	0x7A	0x21	flare_28
67	0x06000043	0x0001C438	0x3708	0	0x96	0x857	0x80	0x22	flared_29
68	0x06000044	0x0001C446	0x37D4	0	0x96	0x861	0x80	0x24	flare_29
69	0x06000045	0x0001C454	0x3820	0	0x96	0x39	0x87	0x26	flared_30
70	0x06000046	0x0001C462	0x3888	0	0x96	0x43	0x87	0x27	flare_30
71	0x06000047	0x0001C470	0x3900	0	0x96	0x1E8	0x8E	0x28	flared_31
72	0x06000048	0x0001C47E	0x3968	0	0x96	0x1F2	0x8E	0x29	flare_31
73	0x06000049	0x0001C48C	0x39AC	0	0x96	0x363	0x97	0x2A	flared_32
74	0x0600004A	0x0001C49A	0x3A5C	0	0x96	0x36D	0x97	0x2B	flare_32
75	0x0600004B	0x0001C4A8	0x3AA0	0	0x96	0x477	0x97	0x2C	flared_33
76	0x0600004C	0x0001C4B6	0x3AFC	0	0x96	0x481	0x97	0x2D	flare_33
77	0x0600004D	0x0001C4C4	0x3B40	0	0x96	0x526	0x9D	0x2E	flared_34
78	0x0600004E	0x0001C4D2	0x3B98	0	0x96	0x530	0x9D	0x2F	flare_34
79	0x0600004F	0x0001C4E0	0x205C	0	0x1886	0x19DA	0x15	0x30	.ctor
80	0x06000050	0x0001C4EE	0x205C	0	0x1886	0x19DA	0x15	0x30	.ctor
81	0x06000051	0x0001C4FC	0x20B4	0	0x83	0x17C	0xA6	0x30	<_Alive>b__0
82	0x06000052	0x0001C50A	0x205C	0	0x1886	0x19DA	0x15	0x30	.ctor
83	0x06000053	0x0001C518	0x20C1	0	0x83	0x157	0xA6	0x30	<_Receive>b__0
