ctf,Złap Ten Sztandar
pwn,opanować
obfuscation,zaciemnienie
fastbin,szybki kosz na śmieci
smallbin,mały kosz na śmieci
largebin,duży kosz na śmieci
shell,muszla
powershell,potężna muszla
go,idź
rust,rdza
c++,patrz dodaj dodaj
c#,patrz ostro
ocaml,owielbłd
pwntools,narzędzia opanowujące
rce,zdalne stracenie szyfru
angr,gniw
netcat,kot sieciowy
cert,zespół awaryjnej odpowiedzi obliczacza
0xdeadbeef,0iksmartwawołowina
metagaming,granie na linii kończącej wyścig
__free_hook,__darmowy_hak
spinlock,kręcąca się kłódka
race condition,warunek wyścigu
page table,stół stron
cli,międzymordzie wiersza poleceń
tracing,smugowanie
jit,dokładnie w czas
one_gadget,jeden_bajer
